VENUE,CONFERENCE,YEAR,TITLE,DOI,TYPE ,CONF/JOUR,Keyword,abstract,usefull,AUTHORS,SCOPE,domain,disciplina,disciplina di visualizzazione,ATTACK THE FILTERING PROBLEM?,NAME,Multi windows system,fs1,fs2,fm,fc,fs2,tot_filtri,filter 1 to 1 or 1 to n,dm1,dm2,dm3,dm4,tot_manip,Spatial_distibution,summary of the filter actions. it is always visualized,"level of relations among filters (AND, OR, NOT)",presence of feedback ( like the currrent selection is connected to the filter.) ,presence of guidance,feedback level on filters,presence_feed,presence_guid,Representation ,filter1,filter2,feed1,feed2,act1,act2,guidance level on filters,guidance level on principal overview (visualization overview),guid1,guid2,Presence,rep1,rep2,layout,figures used,NOTES
TVCG,,2023,Visual Reasoning for Uncertainty in Spatio-Temporal Events of Historical Figures,https://doi.org/10.1109/TVCG.2022.3146508,system paper,JOUR,,,,"Wei Zhang, Siwei Tan, Siming Chen, Linghao Meng, Tianye Zhang, Rongchen Zhu, and Wei Chen",in scope,history,,,no,,unique window,8,8,,,,16,,3,1,,,4,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 3,
TVCG,,2023,Federated Visualization: A Privacy-Preserving Strategy for Aggregated Visual Query,https://doi.org/10.1109/TVCG.2023.3261938,system paper,JOUR,,,,"Wei Chen, Yating Wei, Zhiyong Wang, Shuyue Zhou, Bingru Lin, and Zhiguang Zhou",in scope,agnostic,,,no,,unique window,11,2,,,,13,,2,,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,35%,Fig. 5,
TVCG,,2023,How Does Attention Work in Vision Transformers? A Visual Analytics Attempt,https://doi.org/10.1109/TVCG.2023.3261935,system paper,JOUR,,,,"Yiran Li, Junpeng Wang, Xin Dai, Liang Wang, Chin-Chia Michael Yeh, Yan Zheng, Wei Zhang, and Kwan-Liu Ma",in scope,agnostic,deep learning,,no,,unique window,5,,,,,5,,5,2,,,7,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,How Does Attention Work in Vision Transformers? A Visual Analytics Attempt - YouTube
TVCG,,2023,FraudAuditor: A Visual Analytics Approach for Collusive Fraud in Health Insurance,https://doi.org/10.1109/TVCG.2023.3261910,system paper,JOUR,,,,"Jiehui Zhou, Xumeng Wang, Jie Wang, Hui Ye, Huanliang Wang, Zihan Zhou, Dongming Han, Haochao Ying, Jian Wu, and Wei Chen",in scope,crime analysis,,,no,,unique window,4,2,,7,1,14,,4,1,,,5,distributed compact,absent,absent,yes,no,medium,yes,yes,simple,bar chart,,data distribution,,click,,none,no,,,no,,,20%,Fig. 3,FraudAuditor: A Visual Analytics Approach for Collusive Fraud in Health Insurance - YouTube
TVCG,,2023,SDRQuerier: A Visual Querying Framework for Cross-National Survey Data Recycling,https://doi.org/10.1109/TVCG.2023.3261944,system paper,JOUR,,,,"Yamei Tu, Olga Li, Junpeng Wang, Han-Wei Shen, Przemek Powałko, Irina Tomescu-Dubrow, Kazimierz M. Slomczynski, Spyros Blanas, and J. Craig Jenkins",in scope,,,,no,,unique window,5,3,,,3,11,,4,,,,4,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 6,
TVCG,,2023,Investigating the Sketchplan: A Novel Way of Identifying Tactical Behavior in Massive Soccer Datasets,https://doi.org/10.1109/TVCG.2021.3134814,system paper,JOUR,,,,"Daniel Seebacher, Tom Polk, Halldor Janetzko, Daniel A. Keim, Tobias Schreck, Manuel Stein",in scope,sport,,,no,,unique window,3,1,,,,4,,,4,,,4,unified,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 5,
TVCG,,2023,SimuExplorer: Visual Exploration of Game Simulation in Table Tennis,https://doi.org/10.1109/TVCG.2021.3130422,system paper,JOUR,,,,"Ji Lan, Zheng Zhou, Jiachen Wang, Hui Zhang, Xiao Xie, Yingcai Wu",in scope,sport,,,no,,unique window,2,,1,,,3,,3,,,,3,unified,relation,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,17%,Fig. 4,SimuExplorer
TVCG,,2023,Scalable Comparative Visualization of Ensembles of Call Graphs,https://doi.org/10.1109/TVCG.2021.3129414,system paper,JOUR,,,,"Suraj P. Kesavan, Harsh Bhatia, Abhinav Bhatele, Stephanie Brink, Olga Pearce, Todd Gamblin, Peer-Timo Bremer, Kwan-Liu Ma",in scope,,,,no,,unique window,3,,,,,3,,4,,,,4,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 3,
TVCG,,2023,ActFloor-GAN: Activity-Guided Adversarial Networks for Human-Centric Floorplan Design,https://doi.org/10.1109/TVCG.2021.3126478,system paper,JOUR,,,,"Shidong Wang, Wei Zeng, Xi Chen  Yu Ye, Yu Qiao, Chi-Wing Fu",in scope,agnostic,deep learning,,no,,unique window,4,,,,,4,,1,1,,,2,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 6,
TVCG,,2023,"ChartStory: Automated Partitioning, Layout, and Captioning of Charts into Comic-Style Narratives",https://doi.org/10.1109/TVCG.2021.3114211,system paper,JOUR,,,,"Jian Zhao, Shenyu Xu, Senthil Chandrasegaran, Chris Bryan, Fan Du, Aditi Mishra, Xin Qian, Yiran Li, and Kwan-Liu Ma",in scope,storytelling,,,no,,unique window,,,,,,0,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 4,la manipolazione diretta consiste solo nel cabiare le caption delle figure
TVCG,,2023,Volume Exploration Using Multidimensional Bhattacharyya Flow,https://doi.org/10.1109/TVCG.2021.3127918,system paper,JOUR,,,,"Shreeraj Jadhav, Mahsa Torkaman, Allen Tannenbaum, Saad Nadeem, Arie E. Kaufman",in scope,storytelling,,,no,,unique window,1,4,,,0,5,,2,1,,,3,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,video,ieeexplore.ieee.org/ielx7/2945/10032251/9614998/supp1-3127918.mp4?arnumber=9614998
,VIS,2022,"CosmoVis: An Interactive Visual Analysis Tool for
Exploring Hydrodynamic Cosmological
Simulations",https://doi.org/10.1109/TVCG.2022.3159630,system paper,CONF,,,,"D. Abramov, J. N. Burchett, O. Elek, C. Hummels,
J. X. Prochaska and A. G. Forbes",in scope,astronomy,,,no,,unique window,16,13,4,0,0,33,,0,0,0,0,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,,
,VIS,2022,Extending the Nested Model for User-Centric XAI: A Design Study on GNN-based Drug Repurposing,https://doi.org/10.1109/TVCG.2022.3209435,system paper,CONF,,,,"Qianwen Wang, Kexin Huang, Payal Chandak, Marinka Zitnik, Nils Gehlenborg",in scope,healthcare,,,no,,unique window,1,1,0,0,1,3,,1,1,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 5,
,VIS,2022,"ChartWalk: Navigating large collections of text notes in electronic
health records for clinical chart review",https://doi.org/10.1109/TVCG.2022.3209444,system paper,CONF,,,,"Nicole Sultanum, Farooq Naeem, Michael Brudno, and Fanny Chevalier",in scope,healthcare,,,no,,unique window,10,0,0,1,1,12,,1,0,0,0,1,unified,list,default,yes,no,medium,yes,yes,simple ,bar chart,,temporal,,brush,,none,no,,,no,,,18%,"Fig. 1,4",layout a cornice
,VIS,2022,"ClinicalPath: a Visualization tool to Improve the
Evaluation of Electronic Health Records in
Clinical Decision-Making",https://doi.org/10.1109/TVCG.2022.3175626,system paper,CONF,,,,"Claudio D. G. Linhares, Daniel M. Lima, Jean R. Ponciano, Mauro M. Olivatto, Marco A. Gutierrez,
Jorge Poco, Caetano Traina Jr., and Agma J. M. Traina",in scope,healthcare,,,no,,unique window,3,0,0,0,0,3,,2,0,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,yes,,,no,,,5%,Fig. 6,
,VIS,2022,"EpiMob: Interactive Visual Analytics of Citywide
Human Mobility Restrictions for Epidemic
Control",https://doi.org/10.1109/TVCG.2022.3165385,system paper,CONF,,,,"Chuang Yang, Zhiwen Zhang, Zipei Fan, Renhe Jiang, Quanjun Chen, Xuan Song,
and Ryosuke Shibasaki",in scope,healthcare,,,no,,multi windows,23,3,0,0,0,26,,1,1,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,25%,Fig. 1,
,VIS,2022,Outcome-Explorer: A Causality Guided Interactive Visual Interface for Interpretable Algorithmic Decision Making,10.1109/TVCG.2021.3102051,system paper,CONF,,,,Md Naimul Hoque and Klaus Mueller,in scope,agnostic,xai,,no,,multi windows,16,1,0,0,0,17,,1,1,0,0,2,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,6%,"Fig. 3, 4",
,VIS,2022,"MedChemLens: An Interactive Visual Tool to Support Direction 
Selection in Interdisciplinary Experimental Research of Medicinal 
Chemistry ",10.1109/TVCG.2022.3209434,system paper,CONF,,,,"Chuhan Shi, Fei Nie, Yicheng Hu, Yige Xu, Lei Chen, Xiaojuan Ma and Qiong Luo",in scope,healthcare,,,no,,unique window,0,1,0,0,1,2,,2,1,0,0,3,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,
,VIS,2022,GestureLens: Visual Analysis of Gestures in Presentation Videos,https://doi.org/10.1109/TVCG.2022.3169175,system paper,CONF,,,,"Haipeng Zeng, Xingbo Wang, Yong Wang, Aoyu Wu, Ting Chuen Pong and Huamin Qu",in scope,agnostic,image/video analysis,,no,,unique window,0,2,0,0,1,3,,4,1,0,0,5,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 3,
,VIS,2022,TRAFFICVIS: Visualizing Organized Activity and Spatio-Temporal Patterns for Detecting and Labeling Human Trafficking,10.1109/TVCG.2022.3209403,system paper,CONF,,,,"Catalina Vajiac, Duen Horng Chau, Andreas Olligschlaeger, Rebecca Mackenzie, Pratheeksha Nair, Meng-Chieh Lee, Yifei Li, Namyong Park, Reihaneh Rabbany, Christos Faloutsos",in scope,cibersecurity and privacy,,,no,,unique window,1,5,0,0,0,6,,1,0,0,0,1,unified,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,7%,Fig. 1,
,VIS,2022,Towards Better Caption Supervision for Object Detection,10.1109/TVCG.2021.3138933,system paper,CONF,,,,"Changjian Chen , Jing Wu , Xiaohan Wang , Shouxing Xiang, Song-Hai Zhang , Qifeng Tang, and Shixia Liu",in scope,agnostic,ml,,no,,unique window,1,2,0,10,0,13,,3,1,0,0,4,unified,list,default,yes,no,medium,yes,yes,simple,label,,quality of selection,,click,,none,no,,,no,,,10%,Fig. 4,DEMO http://mutual-detector.thuvis.org/
,VIS,2022,FeatureEnVi: Visual Analytics for Feature Engineering Using Stepwise Selection and Semi-Automatic Extraction Approaches,10.1109/TVCG.2022.3141040,system paper,CONF,,,,"Angelos Chatzimparmpas, Rafael M. Martins, Kostiantyn Kucher and Andreas Kerren",in scope,agnostic,ml,,no,,unique window,0,1,0,0,0,1,,2,0,0,0,2,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,yes,,,no,,,1%,Fig. 1,guidance citata nei goal del paper
,VIS,2022,Visinity: Visual Spatial Neighborhood Analysis for Multiplexed Tissue Imaging Data,https://doi.org/10.1109/TVCG.2022.3209378,system paper,CONF,,,,"Simon Warchol, Robert Krueger, Ajit Johnson Nirmal, Giorgio Gaglia, Jared Jessup, Cecily C. Ritch, John Hoffer, Jeremy Muhlich, Megan L. Burger, Tyler Jacks, Sandro Santagata, Peter K. Sorger and Hanspeter Pfister",in scope,healthcare,,,no,,unique window,3,2,0,0,1,6,,3,2,0,0,5,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,8%,Fig. 1,
,VIS,2022,Visual Analysis of Neural Architecture Spaces for Summarizing Design Principles,https://doi.org/10.1109/TVCG.2022.3209404,system paper,CONF,,,,"Jun Yuan, Mengchen Liu, Fengyuan Tian, and Shixia Liu",in scope,agnostic,ml,,no,,unique window,0,0,1,3,0,4,,6,1,0,0,7,unified,list,default,yes,no,medium,yes,yes,simple,slider,,data distribution,,drag,,none,no,,,no,,,4%,Fig. 1,scented widgets
,VIS,2022,HetVis: A Visual Analysis Approach for Identifying Data Heterogeneity in Horizontal Federated Learning,https://doi.org/10.1109/TVCG.2022.3209347,system paper,CONF,,,,"Xumeng Wang, Wei Chen, Jiazhi Xia, Zhen Wen, Rongchen Zhu, Tobias Schreck",in scope,agnostic,ml,,no,,unique window,5,1,0,0,0,6,,2,1,0,0,3,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,6%,Fig. 1,
,VIS,2022,Provectories: Embedding-based Analysis of Interaction Provenance Data,10.1109/TVCG.2021.3135697,,CONF,,,,"Conny Walchshofer, Andreas Hinterreiter, Kai Xu, Holger Stitz, and Marc Streit",in scope,agnostic,,,no,,unique window,10,5,,,,15,,1,1,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,25%,vedere demo,Provectories (caleydoapp.org)
,VIS,2022,DendroMap: Visual Exploration of Large-Scale Image Datasets for Machine Learning with Treemaps,https://doi.org/10.48550/arXiv.2205.06935,system paper,CONF,,,,"Donald Bertucci, Md Montaser Hamid, Yashwanthi Anand, Anita Ruangrotsakun, Delyar Tabatabai, Melissa Perez, and Minsuk Kahng",in scope,agnostic,ml,,no,,unique window,4,0,0,0,1,5,,2,1,0,0,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,12%,Fig. 1,DEMO https://div-lab.github.io/dendromap/
,VIS,2022,A Framework for Multiclass Contour Visualization,https://doi.org/10.1109/TVCG.2022.3209482,system paper,CONF,,,,"Sihang Li, Jiacheng Yu, Mingxuan Li, Le Liu, Xiaolong (Luke) Zhang, and Xiaoru Yuan",in scope,agnostic,visualization,,no,,unique window,4,6,0,0,0,10,,2,2,0,0,4,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,40%,Fig. 4,
,VIS,2022,VACSEN: A Visualization Approach for Noise Awareness in Quantum Computing,https://doi.org/10.1109/TVCG.2022.3209455,system paper,CONF,,,,"Shaolun Ruan, Yong Wang, Weiwen Jiang, Ying Mao, and Qiang Guan",in scope,agnostic,quantum computing,,no,,unique window,8,1,0,0,2,11,,2,0,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig.1 ,"DEMO, link nel paragrafo 5"
,VIS,2022,GenoREC: A Recommendation System for Interactive Genomics Data Visualization,https://doi.org/10.1109/TVCG.2022.3209407,system paper,CONF,,,,"Aditeya Pandey , Sehi L’Yi , Qianwen Wang , Michelle A. Borkin , and Nils Gehlenborg",in scope,biology,,,no,,multi windows,20,0,0,0,0,20,,0,0,0,0,0,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 4,
,VIS,2022,Geo-Storylines: Integrating Maps into Storyline Visualizations,10.1109/TVCG.2022.3209480,system paper,CONF,,,,"Golina Hulstein, Vanessa Pena-Araya, and Anastasia Bezerianos",in scope,agnostic,geo-visualization,,no,,multi windows,0,0,0,0,0,0,,3,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 1,DEMO https://geostorylines.herokuapp.com/
,VIS,2022,VISUAL AUDITOR: Interactive Visualization for Detection and Summarization of Model Biases,https://doi.org/10.48550/arXiv.2206.12540,system paper,CONF,,,,"David Munechika, Zijie J. Wang, Jack Reidy, Josh Rubin, Krishna Gade, Krishnaram Kenthapadi, Duen Horng Chau",in scope,agnostic,ml,,no,,unique window,18,2,0,0,0,20,,0,0,0,0,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig.1,DEMO https://visual-auditor.surge.sh/   dove si riescono a vedere tutti i filtri
,VIS,2022,TIMBERTREK: Exploring and Curating Sparse Decision Trees with Interactive Visualization,https://doi.org/10.48550/arXiv.2209.09227,system paper,CONF,,,,"Zijie J. Wang, Chudi Zhong, Rui Xin, Takuya Takagi, Zhi Chen, Duen Horng Chau, Cynthia Rudin, Margo Seltzer",in scope,agnostic,ml,,no,,unique window,36,0,0,3,,39,,6,0,0,0,6,unified,list,default,yes,no,medium,yes,yes,simple,slider,checkbox,data distribution,,drag,click,none,no,,,no,,,18%,Fig.1,DEMO https://poloclub.github.io/timbertrek/
,VIS,2022,FairFuse: Interactive Visual Support for Fair Consensus Ranking,https://doi.org/10.48550/arXiv.2207.07765,system paper,CONF,,,,"Hilson Shrestha, Kathleen Cachel, Mallak Alkhathlan, Elke Rundensteiner, Lane Harrison",in scope,agnostic,ranking,,no,,unique window,4,1,0,0,0,5,,4,1,0,0,5,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig.1 ,VIDEO https://osf.io/2cpek
,VIS,2022,NAS-Navigator: Visual Steering for Explainable One-Shot Deep Neural Network Synthesis,https://doi.org/10.1109/TVCG.2022.3209361,system paper,CONF,,,,"Anjul Tyagi, Cong Xie, Klaus Mueller",in scope,agnostic,deep learning,,no,,unique window,7,3,0,0,0,10,,0,2,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,6%,Fig. 1,
,VIS,2022,GNNLens: A Visual Analytics Approach for Prediction Error Diagnosis of Graph Neural Networks,https://doi.org/10.1109/TVCG.2022.3148107,system paper,CONF,,,,"Zhihua Jin, Yong Wang, Qianwen Wang, Yao Ming, Tengfei Ma, and Huamin Qu",in scope,agnostic,deep learning,,no,,unique window,8,1,0,0,0,9,,3,3,0,0,6,distributed compact,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,8%,Fig.1 ,DEMO https://gnnlens.github.io/
,VIS,2022,DashBot: Insight-Driven Dashboard Generation Based on Deep Reinforcement Learning,https://doi.org/10.1109/TVCG.2022.3209468,system paper,CONF,,,,"Dazhen Deng, Aoyu Wu, Huamin Qu, and Yingcai Wu",in scope,agnostic,visualization,,no,,unique window,11,0,0,0,0,11,,0,0,0,0,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig.1,
,VIS,2022,"PC-Expo: A Metrics-Based Interactive Axes Reordering Method for
Parallel Coordinate Displays",https://doi.org/10.1109/TVCG.2022.3209392,system paper,CONF,,,,"Anjul Tyagi, Tyler Estro, Geoff Kuenning, Erez Zadok, Klaus Mueller",in scope,agnostic,visualization,,no,,unique window,15,13,12,,0,40,,1,1,0,0,2,unified,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,40%,Fig. 1,"dubbio sulla sezione c, DEMO https://paracoords.herokuapp.com/"
,VIS,2022,Incorporation of Human Knowledge into Data Embeddings to Improve Pattern Significance and Interpretability,"
https://doi.org/10.48550/arXiv.2209.11364",system paper,CONF,,,,Jie Li and Chun-qi Zhou,in scope,agnostic,pattern analysis,,no,,unique window,3,1,0,,0,4,,2,0,0,0,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,"Fig. 1, Fig. 7c",layout cornice
,VIS,2022,Interactive Visual Cluster Analysis by Contrastive Dimensionality Reduction,https://doi.org/10.1109/TVCG.2022.3209423,system paper,CONF,,,,"Jiazhi Xia, Linquan Huang, Weixing Lin, Xin Zhao, Jing Wu, Yang Chen, Ying Zhao, and Wei Chen",in scope,agnostic,dimensionality reduction,,no,,unique window,6,0,0,0,0,6,,0,0,0,0,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 5,
,VIS,2022,VERTIGo: A Visual Platform for Querying and Exploring Large Multilayer Networks,https://doi.org/10.1109/TVCG.2021.3067820,system paper,CONF,,,,"Erick Cuenca , Arnaud Sallaberry , Dino Ienco , and Pascal Poncelet",in scope,agnostic,graph/network analysis,,no,,unique window,3,0,0,0,1,4,,3,0,0,0,3,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,2%,Fig. 1,
,VIS,2022,ASEVis: Visual Exploration of Active System Ensembles to Define Characteristic Measures,https://doi.org/10.48550/arXiv.2207.06519,system paper,CONF,,,,"Marina Evers, Raphael Wittkowski, Lars Linsen",in scope,agnostic,,,no,,unique window,4,2,0,0,0,6,,3,0,0,0,3,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,25%,Fig. 1,video in supplemental material
,VIS,2022,NeuRegenerate: A Framework for Visualizing Neurodegeneration,https://doi.org/10.1109/TVCG.2021.3127132,system paper,CONF,,,,"Saeed Boorboor, Shawn Mathew, Mala Ananth, David Talmage, Lorna W. Role, and Arie E. Kaufman",in scope,biology,,,no,,unique window,18,3,0,0,0,21,,0,0,0,0,0,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,30%,Fig. 5,
,VIS,2022,DXplorer: A Unified Visualization Framework for Interactive Dendritic Spine Analysis using 3D Morphological Features (FIG 6),https://doi.org/10.1109/TVCG.2021.3116656,system paper,CONF,,,,"JunYoung Choi, Sang-Eun Lee, YeIn Lee, Eunji Cho, Sunghoe Chang, and Won-Ki Jeong",in scope,healthcare,,,no,,multi windows,14,4,0,0,0,18,,1,1,0,0,2,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,"Fig. 5, Fig. 6",
,VIS,2022,PromotionLens: Inspecting Promotion Strategies of Online E-commerce via Visual Analytics,https://doi.org/10.1109/TVCG.2022.3209440,system paper,CONF,,,,"Chenyang Zhang, Xiyuan Wang, Chuyi Zhao, Yijing Ren, Tianyu Zhang, Zhenhui Peng, Xiaomeng Fan, Xiaojuan Ma, and Quan Li",in scope,finance,,,no,,unique window,6,8,0,0,,14,,4,2,0,0,6,distributed,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,
,VIS,2022,CohortVA: A Visual Analytic System for Interactive Exploration of Cohorts based on Historical Data,https://doi.org/10.1109/TVCG.2022.3209483,system paper,CONF,,,,"Wei Zhang, Jason K. Wong, Xumeng Wang, Youcheng Gong, Rongchen Zhu, Kai Liu, Zihan Yan, Siwei Tan, Huamin Qu, Siming Chen, and Wei Chen",in scope,,,,no,,unique window,8,2,0,0,,10,,2,1,0,0,3,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig.1,
